cast_id,quest_id,spell_id,times_cast
1,1001,101,2
2,1001,102,1
3,1002,103,1
4,1003,101,3
5,1004,102,2
6,1004,104,1
7,1005,101,4
8,1006,103,1
9,1006,105,2
10,1007,104,1
11,1008,106,3
12,1009,101,5
13,1009,102,1
14,1010,103,2
15,1011,105,1
16,1012,101,2
17,1012,106,1
18,1013,104,1
19,1014,102,3
20,1015,103,1
21,1016,101,4
22,1016,105,2
23,1017,102,1
24,1018,103,2
25,1018,104,1
26,1019,106,1
27,1020,101,3
28,1021,102,2
29,1022,103,1
30,1022,105,3
31,1023,104,1
32,1024,101,4
33,1024,106,2
34,1025,102,2
35,1025,103,1
36,1001,101,1
37,1003,105,1
38,1007,106,2
39,1011,101,3
40,1015,104,1
41,1026,107,1
42,1026,108,2
43,1027,101,3
44,1027,103,1
45,1028,105,2
46,1028,102,1
47,1029,106,1
48,1029,104,2
49,1030,108,1
50,1030,107,1
51,1005,105,2
52,1010,106,1
53,1012,101,1
54,1017,104,3
55,1020,103,2
56,1023,102,1
57,1026,108,1
58,1029,101,2
59,1013,105,1
60,1018,107,1
