quest_id,wizard_id,quest_date,status,guild_cut_pct
1001,1,1023-01-20,completed,0.0
1002,1,1023-03-15,completed,10.0
1003,2,1023-02-25,completed,0.0
1004,3,1023-01-18,completed,5.0
1005,3,1023-04-10,completed,5.0
1006,3,1023-06-30,completed,0.0
1007,4,1023-03-12,completed,
1008,5,1023-05-01,abandoned,0.0
1009,6,1023-05-10,completed,15.0
1010,6,1023-07-20,completed,0.0
1011,7,1023-06-25,completed,0.0
1012,7,1023-08-05,completed,10.0
1013,7,1023-09-15,failed,0.0
1014,8,1023-03-05,completed,
1015,9,1023-08-01,completed,0.0
1016,10,1023-08-15,completed,5.0
1017,10,1023-09-20,completed,0.0
1018,1,1023-10-05,completed,20.0
1019,2,1023-10-15,abandoned,
1020,4,1023-11-01,completed,0.0
1021,5,1023-11-10,completed,0.0
1022,6,1023-11-20,completed,10.0
1023,8,1023-12-01,completed,0.0
1024,9,1023-12-10,completed,5.0
1025,10,1023-12-20,completed,0.0
1026,3,1023-07-04,failed,0.0
1027,4,1023-09-09,completed,
1028,7,1023-10-31,completed,10.0
1029,1,1023-11-25,completed,5.0
1030,2,1023-12-15,abandoned,0.0
