wizard_id,month,gold_earned,monsters_slain
1,1023-01-01,3115.18,12
1,1023-02-01,1166.77,39
1,1023-03-01,4905.73,29
1,1023-04-01,4819.82,12
1,1023-05-01,4451.45,22
1,1023-06-01,3698.08,30
1,1023-07-01,1609.17,37
1,1023-08-01,1087.34,5
1,1023-09-01,1758.12,29
1,1023-10-01,4704.18,24
1,1023-11-01,4222.27,13
1,1023-12-01,2665.61,37
2,1023-01-01,801.96,20
2,1023-02-01,3937.47,30
2,1023-03-01,908.41,31
2,1023-04-01,2286.08,5
2,1023-05-01,2454.88,6
2,1023-06-01,538.92,19
2,1023-07-01,2776.9,38
2,1023-08-01,1755.78,12
2,1023-09-01,3006.67,1
2,1023-10-01,2231.17,25
2,1023-11-01,3042.03,15
2,1023-12-01,2283.18,2
3,1023-01-01,2294.31,31
3,1023-02-01,4843.42,34
3,1023-03-01,642.46,12
3,1023-04-01,1102.45,27
3,1023-05-01,1321.66,36
3,1023-06-01,2434.28,33
3,1023-07-01,3369.79,19
3,1023-08-01,1343.21,25
3,1023-09-01,785.52,0
3,1023-10-01,2979.75,12
3,1023-11-01,4191.99,16
3,1023-12-01,3426.74,24
